"","Activity ID","SVN","STATION_KEY","MLocID","Date","Habitat_sampled","Field_QA","Increment_Field","Lab_QA","Increment_Lab","TAXON_CODE","TaxonSN","StageID","Count","UniqueTaxon","Comments","...1","Taxon","TSN_deq","tax_uid","txrnk_name","tax_name","tax_extrnl_id","name_match","ITIS_match","Kingdom","Phylum","Class","SubClass","Order","SubOrder","Super Family","Family","SubFamily","Tribe","Genus","SubGenus","SpeciesGroup","SpeciesComplex","Species","SubSpecies"
"1",NA,"19004TRD","35720","35720-ORDEQ",2019-09-04,"R","S","1","S","1","EPH118",NA,"Larva",32,"Yes","mid filament 1/4 length of laterals",NA,"Baetis Rhodani Gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,"rhodani gr.",NA,NA,NA
"2",NA,"19004TRD","35720","35720-ORDEQ",2019-09-04,"R","S","1","S","1","EPH536",NA,"Larva",14,"Yes",NA,NA,"Epeorus grandis/permagnus gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","Heptagenioidea","Heptageniidae",NA,NA,"Epeorus",NA,"grandis/permagnus",NA,NA,NA
"3",NA,"19004TRD","35720","35720-ORDEQ",2019-09-04,"R","S","1","S","1","PLE632","-999","Larva",1,"Yes","immature",NA,"Kogotus/Rickera",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Plecoptera","Systellognatha",NA,"Perlodidae","Perlodinae","Diploperlini",NA,NA,NA,NA,NA,NA
"4",NA,"19004TRD","35720","35720-ORDEQ",2019-09-04,"R","S","1","S","1","TRI1216","-999","Larva",8,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"5",NA,"19004TRD","35720","35720-ORDEQ",2019-09-04,"R","S","1","S","1","TRI322","115560","Larva",2,"Yes",NA,NA,"Parapsyche elsis complex",115560,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Hydropsychoidea","Hydropsychidae","Arctopsychinae",NA,"Parapsyche",NA,NA,"elsis complex",NA,NA
"6",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","EPH112","100817","Larva",17,"Yes",NA,NA,"Baetis tricaudatus complex",100817,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"tricaudatus complex","tricaudatus",NA
"7",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","EPH536",NA,"Larva",2,"Yes",NA,NA,"Epeorus grandis/permagnus gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","Heptagenioidea","Heptageniidae",NA,NA,"Epeorus",NA,"grandis/permagnus",NA,NA,NA
"8",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","PLE632","-999","Larva",1,"Yes","immature",NA,"Kogotus/Rickera",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Plecoptera","Systellognatha",NA,"Perlodidae","Perlodinae","Diploperlini",NA,NA,NA,NA,NA,NA
"9",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","TRI1210","-999","Larva",3,"Yes",NA,NA,"Rhyacophila vetina complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Vetina complex","vetina complex",NA
"10",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","TRI1216","-999","Larva",6,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"11",NA,"19016TRD","35720","35720-ORDEQ",2019-10-10,"R","S","1","S","1","TRI322","115560","Larva",15,"Yes",NA,NA,"Parapsyche elsis complex",115560,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Hydropsychoidea","Hydropsychidae","Arctopsychinae",NA,"Parapsyche",NA,NA,"elsis complex",NA,NA
"12",NA,"15009TRD","35720","35720-ORDEQ",2015-09-10,"R","S","1","S","1","EPH118",NA,"Larva",23,"No",NA,NA,"Baetis Rhodani Gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,"rhodani gr.",NA,NA,NA
"13",NA,"15009TRD","35720","35720-ORDEQ",2015-09-10,"R","S","1","S","1","EPH112",NA,"Larva",5,"Yes",NA,NA,"Baetis tricaudatus complex",100817,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"tricaudatus complex","tricaudatus",NA
"14",NA,"15009TRD","35720","35720-ORDEQ",2015-09-10,"R","S","1","S","1","TRI1216",NA,"Larva",13,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"15",NA,"17014TRD","35720","35720-ORDEQ",2017-08-22,"R","S","1","S","1","EPH112",NA,"Larva",52,"Yes",NA,NA,"Baetis tricaudatus complex",100817,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"tricaudatus complex","tricaudatus",NA
"16",NA,"17014TRD","35720","35720-ORDEQ",2017-08-22,"R","S","1","S","1","TRI1216",NA,"Larva",9,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"17",NA,"17014TRD","35720","35720-ORDEQ",2017-08-22,"R","S","1","S","1","PLE240",NA,"Larva",1,"Yes",NA,NA,"Suwalliini",103254,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Plecoptera","Systellognatha",NA,"Chloroperlidae","Chloroperlinae",NA,"Suwallia",NA,NA,NA,NA,NA
"18",NA,"16010TRD","35720","35720-ORDEQ",2016-09-08,"R","S","1","S","1","EPH112",NA,"Larva",35,"Yes",NA,NA,"Baetis tricaudatus complex",100817,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"tricaudatus complex","tricaudatus",NA
"19",NA,"16010TRD","35720","35720-ORDEQ",2016-09-08,"R","S","1","S","1","DIP950","120164","Larva",2,"Yes",NA,NA,"Limnophila/Dicranophragma/Eloeophila/Euphylidorea/Idioptera",120164,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Diptera","Nematocera",NA,"Limoniidae",NA,NA,"Limnophila",NA,NA,NA,NA,NA
"20",NA,"16010TRD","35720","35720-ORDEQ",2016-09-08,"R","S","1","S","1","DIP501","125514","Larva",2,"Yes",NA,NA,"Pericomaini",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Diptera","Nematocera",NA,"Psychodidae","Psychodinae","Pericomaini",NA,NA,NA,NA,NA,NA
"21",NA,"16010TRD","35720","35720-ORDEQ",2016-09-08,"R","S","1","S","1","TRI1216",NA,"Larva",16,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"22",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","EPH111",NA,"Larva",41,"Yes",NA,NA,"Baetis bicaudatus complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"bicaudatus complex","bicaudatus",NA
"23",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","EPH118",NA,"Larva",8,"No",NA,NA,"Baetis Rhodani Gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,"rhodani gr.",NA,NA,NA
"24",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","EPH112","100817","Larva",2,"Yes",NA,NA,"Baetis tricaudatus complex",100817,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma",NA,"Baetidae",NA,NA,"Baetis",NA,NA,"tricaudatus complex","tricaudatus",NA
"25",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","EPH536",NA,"Larva",33,"Yes",NA,NA,"Epeorus grandis/permagnus gr.",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","Heptagenioidea","Heptageniidae",NA,NA,"Epeorus",NA,"grandis/permagnus",NA,NA,NA
"26",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","CHI507",NA,"Larva",5,"Yes",NA,NA,"Orthocladius (Mesorthocladius)",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Diptera","Nematocera",NA,"Chironomidae","Orthocladiinae","Orthocladiini/Metriocnemini","Orthocladius","Orthocladius (Mesorthocladius)",NA,NA,NA,NA
"27",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","TRI322","115560","Larva",5,"Yes",NA,NA,"Parapsyche elsis complex",115560,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Hydropsychoidea","Hydropsychidae","Arctopsychinae",NA,"Parapsyche",NA,NA,"elsis complex",NA,NA
"28",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","TRI1216","-999","Larva",5,"Yes",NA,NA,"Rhyacophila atrata complex",-999,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Trichoptera",NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,"Rhyacophila",NA,NA,"Atrata complex","atrata complex",NA
"29",NA,"18011TRD","35720","35720-ORDEQ",2018-07-03,"R","S","1","S","1","PLE240","103254","Larva",4,"Yes",NA,NA,"Suwalliini",103254,NA,NA,NA,NA,"???","???","Animalia","Arthropoda","Insecta","Pterygota","Plecoptera","Systellognatha",NA,"Chloroperlidae","Chloroperlinae",NA,"Suwallia",NA,NA,NA,NA,NA
